Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0148178167	-1.69290399	-1.69290399	-1.69290399	-1.69290399	0	0	0	0	0	0	3
2	4	0	0.0296356335	-1.29573382	-1.4943189	-1.69290399	-1.29573382	0.19858508	0	0	0	0	0	3
3	4	0	0.0444534502	-1.12235214	-1.37032998	-1.69290399	-1.12235214	0.322574001	0	0	0	0	0	3
4	4	0	0.0592712669	-1.05909156	-1.29252038	-1.69290399	-1.05909156	0.400383606	0	0	0	0	0	3
5	5	0	0.0740890836	-1.00692935	-1.23540217	-1.69290399	-1.00692935	0.457501812	0	0	0	0	0	3
6	5	0	0.0889069004	-0.936045974	-1.18550947	-1.69290399	-0.936045974	0.507394512	0	0	0	0	0	3
7	5	0	0.103724717	-0.840286248	-1.13619187	-1.69290399	-0.840286248	0.556712116	0	0	0	0	0	3
8	6	0	0.118542534	-0.717495806	-1.08385486	-1.69290399	-0.717495806	0.609049124	0	0	0	0	0	3
9	6	0	0.133360351	-0.57222195	-1.02700676	-1.69290399	-0.57222195	0.665897225	0	0	0	0	0	3
10	7	0	0.148178167	-0.424626031	-0.966768687	-1.69290399	-0.424626031	0.726135298	0	0	0	0	0	3
11	7	0	0.162995984	-0.105418657	-0.888464139	-1.69290399	-0.105418657	0.804439846	0	0	0	0	0	3
12	7	0	0.177813801	-0.0749571376	-0.820671889	-1.69290399	-0.0749571376	0.872232096	0	0	0	0	0	3
13	8	0	0.192631617	-0.0627945896	-0.762373635	-1.69290399	-0.0627945896	0.93053035	0	0	0	0	0	3
14	8	0	0.207449434	-0.054639801	-0.711821218	-1.69290399	-0.054639801	0.981082767	0	0	0	0	0	3
15	8	0	0.222267251	-0.0481933802	-0.667579363	-1.69290399	-0.0481933802	1.02532462	0	0	0	0	0	3
16	9	0	0.237085068	-0.0436477447	-0.628583636	-1.69290399	-0.0436477447	1.06432035	0	0	0	0	0	3
17	9	0	0.251902884	-0.0372644778	-0.593800157	-1.69290399	-0.0372644778	1.09910383	0	0	0	0	0	3
18	9	0	0.266720701	-0.0301418466	-0.562485806	-1.69290399	-0.0301418466	1.13041818	0	0	0	0	0	3
19	10	0	0.281538518	-0.0252351232	-0.534209454	-1.69290399	-0.0252351232	1.15869453	0	0	0	0	0	3
20	10	0	0.296356335	-0.0205119022	-0.508524577	-1.69290399	-0.0205119022	1.18437941	0	0	0	0	0	3
21	10	0	0.311174151	-0.017308294	-0.485133325	-1.69290399	-0.017308294	1.20777066	0	0	0	0	0	3
22	11	0	0.325991968	-0.0119767059	-0.463626206	-1.69290399	-0.0119767059	1.22927778	0	0	0	0	0	3
23	11	0	0.340809785	-0.00829661632	-0.443829267	-1.69290399	-0.00829661632	1.24907472	0	0	0	0	0	3
24	11	0	0.355627602	-0.00599678529	-0.425586247	-1.69290399	-0.00599678529	1.26731774	0	0	0	0	0	3
25	12	0	0.370445418	-0.0045807145	-0.408746026	-1.69290399	-0.0045807145	1.28415796	0	0	0	0	0	3
26	12	0	0.385263235	-0.00302483622	-0.393141365	-1.69290399	-0.00302483622	1.29976262	0	0	0	0	0	3
27	13	0	0.400081052	-0.00129839724	-0.378628662	-1.69290399	-0.00129839724	1.31427532	0	0	0	0	0	3
28	13	0	0.414898868	0.00128129857	-0.365060449	-1.69290399	0.00128129857	1.32784354	0	0	0	0	0	3
29	13	0	0.429716685	0.000456811735	-0.352456406	-1.69290399	0.00128129857	1.34044758	0	0	0	0	0	3
30	14	0	0.444534502	0.00265350181	-0.340619409	-1.69290399	0.00265350181	1.35228458	0	0	0	0	0	3
31	14	0	0.459352319	0.00233703915	-0.329556298	-1.69290399	0.00265350181	1.36334769	0	0	0	0	0	3
32	14	0	0.474170135	0.00405113899	-0.319131065	-1.69290399	0.00405113899	1.37377292	0	0	0	0	0	3
33	15	0	0.488987952	0.00345678376	-0.309355676	-1.69290399	0.00405113899	1.38354831	0	0	0	0	0	3
34	15	0	0.503805769	0.00358225696	-0.300151619	-1.69290399	0.00405113899	1.39275237	0	0	0	0	0	3
35	15	0	0.518623586	0.0033163288	-0.250262786	-1.29573382	0.00405113899	1.24405612	0	0	0	0	0	3
36	16	0	0.533441402	0.00213784235	-0.21209009	-1.12235214	0.00405113899	1.12640328	0	0	0	0	0	3
