Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
51	21	0	0.755708653	-2.60957802e-06	-0.000307521437	-0.00150560995	-5.78901866e-09	0.00150560416	0	0	0	0	0	3
52	21	0	0.77052647	-4.47605247e-07	-0.000266478257	-0.00150560995	-5.78901866e-09	0.00150560416	0	0	0	0	0	3
53	22	0	0.785344287	-1.2170686e-06	-0.000227403709	-0.00150560995	-5.78901866e-09	0.00150560416	0	0	0	0	0	3
54	22	0	0.800162103	-4.24030545e-07	-0.000193461866	-0.00150560995	-5.78901866e-09	0.00150560416	0	0	0	0	0	3
55	23	0	0.81497992	-2.91252994e-07	-0.000149187787	-0.000829853658	-5.78901866e-09	0.000829847869	0	0	0	0	0	3
56	23	0	0.829797737	-5.4496002e-08	-0.000124781929	-0.000682640501	-5.78901866e-09	0.000682634712	0	0	0	0	0	3
57	23	0	0.844615554	-1.0506706e-06	-0.000104735169	-0.000640281593	-5.78901866e-09	0.000640275804	0	0	0	0	0	3
58	24	0	0.85943337	-2.73266055e-07	-8.59113951e-05	-0.000636281427	-5.78901866e-09	0.000636275638	0	0	0	0	0	3
59	24	0	0.874251187	-1.66035763e-07	-6.74850945e-05	-0.000636281427	-5.78901866e-09	0.000636275638	0	0	0	0	0	3
60	24	0	0.889069004	-1.9526196e-08	-6.42243014e-05	-0.000636281427	-5.78901866e-09	0.000636275638	0	0	0	0	0	3
61	25	0	0.903886821	-1.30350227e-07	-4.55139756e-05	-0.000581232903	-5.78901866e-09	0.000581227114	0	0	0	0	0	3
62	25	0	0.918704637	-3.35325108e-08	-4.35292986e-05	-0.000581232903	-5.78901866e-09	0.000581227114	0	0	0	0	0	3
63	25	0	0.933522454	-3.76148123e-09	-2.93308447e-05	-0.000581232903	-3.76148123e-09	0.000581229142	0	0	0	0	0	3
64	26	0	0.948340271	-4.82139934e-09	-2.9117923e-05	-0.000581232903	-3.76148123e-09	0.000581229142	0	0	0	0	0	3
65	26	0	0.963158087	-2.41556646e-09	-1.20229087e-05	-0.000259069013	-2.41556646e-09	0.000259066597	0	0	0	0	0	3
66	27	0	0.977975904	-4.46081912e-09	-1.02114355e-05	-0.000259069013	-2.41556646e-09	0.000259066597	0	0	0	0	0	3
67	27	0	0.992793721	-1.13359524e-09	-9.97319737e-06	-0.000259069013	-1.13359524e-09	0.000259067879	0	0	0	0	0	3
68	27	0	1.00761154	-1.52567468e-09	-9.73200608e-06	-0.000259069013	-1.13359524e-09	0.000259067879	0.85814603	0	0	0	0	3
